id,sex,group,exp,exp_date,latency,1st_prey,unpalatable_50,total_50,palatable_50,unpalatable_consumed,total_consumed,palatable_consumed,population,pc1,1st_prey2,percent_unpalatable_50,percent_unpalatable_consumed
69,f,Y,3,04-10-2022,0,U,3,4,1,4,8,4,Chai,-2.4945053461963744,0,0.75,0.5
69,f,Y,1,04-08-2022,0,P,1,4,3,4,8,4,Chai,-2.4945053461963744,1,0.25,0.5
70,f,R,1,04-08-2022,0,P,1,4,3,4,8,4,Chai,-0.8135306823399722,1,0.25,0.5
70,f,R,4,04-11-2022,0,U,2,4,2,4,8,4,Chai,-0.8135306823399722,0,0.5,0.5
70,f,R,5,04-12-2022,0,U,3,4,1,4,8,4,Chai,-0.8135306823399722,0,0.75,0.5
70,f,R,2,04-09-2022,0,U,3,4,1,4,8,4,Chai,-0.8135306823399722,0,0.75,0.5
70,f,R,3,04-10-2022,0,P,2,4,2,4,8,4,Chai,-0.8135306823399722,1,0.5,0.5
71,f,R,1,04-08-2022,2,P,1,4,3,4,8,4,Chai,-0.8316048837302568,1,0.25,0.5
71,f,R,5,04-12-2022,0,P,2,4,2,4,8,4,Chai,-0.8316048837302568,1,0.5,0.5
71,f,R,4,04-11-2022,0,P,1,4,3,4,8,4,Chai,-0.8316048837302568,1,0.25,0.5
71,f,R,2,04-09-2022,2,P,1,4,3,3,7,4,Chai,-0.8316048837302568,1,0.25,0.42857142857142855
71,f,R,3,04-10-2022,0,U,1,4,3,4,8,4,Chai,-0.8316048837302568,0,0.25,0.5
72,m,Y,2,04-09-2022,0,U,3,3,0,3,5,2,Chai,-1.6078794797323106,0,1,0.6
72,m,Y,3,04-10-2022,0,P,1,4,3,3,7,4,Chai,-1.6078794797323106,1,0.25,0.42857142857142855
72,m,Y,4,04-11-2022,0,P,1,4,3,3,7,4,Chai,-1.6078794797323106,1,0.25,0.42857142857142855
72,m,Y,1,04-08-2022,0,P,3,4,1,3,7,4,Chai,-1.6078794797323106,1,0.75,0.42857142857142855
72,m,Y,5,04-12-2022,0,P,1,4,3,2,6,4,Chai,-1.6078794797323106,1,0.25,0.3333333333333333
73,f,Y,1,04-08-2022,0,U,2,4,2,2,6,4,Chai,-1.7400626479898642,0,0.5,0.3333333333333333
73,f,Y,2,04-09-2022,0,U,2,4,2,1,5,4,Chai,-1.7400626479898642,0,0.5,0.2
73,f,Y,5,04-12-2022,0,P,1,4,3,4,8,4,Chai,-1.7400626479898642,1,0.25,0.5
73,f,Y,3,04-10-2022,0,P,1,4,3,4,8,4,Chai,-1.7400626479898642,1,0.25,0.5
73,f,Y,4,04-11-2022,0,U,3,4,1,4,8,4,Chai,-1.7400626479898642,0,0.75,0.5
75,f,Y,2,04-09-2022,0,P,1,4,3,4,8,4,Chai,1.8426164507013936,1,0.25,0.5
75,f,Y,3,04-10-2022,0,P,1,4,3,4,8,4,Chai,1.8426164507013936,1,0.25,0.5
75,f,Y,1,04-08-2022,2,P,1,4,3,4,8,4,Chai,1.8426164507013936,1,0.25,0.5
75,f,Y,4,04-11-2022,0,U,3,4,1,4,8,4,Chai,1.8426164507013936,0,0.75,0.5
75,f,Y,5,04-12-2022,0,U,2,4,2,3,7,4,Chai,1.8426164507013936,0,0.5,0.42857142857142855
78,m,R,2,04-16-2022,0,U,1,4,3,4,8,4,Chai,-1.8991707231043076,0,0.25,0.5
78,m,R,1,04-15-2022,0,U,3,4,1,4,8,4,Chai,-1.8991707231043076,0,0.75,0.5
78,m,R,5,04-19-2022,1,P,0,4,4,4,8,4,Chai,-1.8991707231043076,1,0,0.5
78,m,R,3,04-17-2022,9,P,0,4,4,4,8,4,Chai,-1.8991707231043076,1,0,0.5
78,m,R,4,04-18-2022,0,P,1,4,3,4,8,4,Chai,-1.8991707231043076,1,0.25,0.5
79,f,R,3,06-05-2022,0,P,0,3,3,1,5,4,Chai,-0.36830664563355686,1,0,0.2
79,f,R,5,06-07-2022,15,P,0,2,2,0,4,4,Chai,-0.36830664563355686,1,0,0
79,f,R,1,06-03-2022,1,P,2,4,2,0,4,4,Chai,-0.36830664563355686,1,0.5,0
79,f,R,2,06-04-2022,0,U,1,4,3,0,4,4,Chai,-0.36830664563355686,0,0.25,0
79,f,R,4,06-06-2022,0,P,0,2,2,0,4,4,Chai,-0.36830664563355686,1,0,0
82,m,Y,4,06-30-2022,20,P,2,4,2,4,8,4,PT,0.7583549902642258,1,0.5,0.5
82,m,Y,5,07-01-2022,7,P,2,4,2,4,8,4,PT,0.7583549902642258,1,0.5,0.5
82,m,Y,2,06-28-2022,17,P,1,3,2,2,5,3,PT,0.7583549902642258,1,0.3333333333333333,0.4
82,m,Y,3,06-29-2022,10,P,1,4,3,2,6,4,PT,0.7583549902642258,1,0.25,0.3333333333333333
82,m,Y,1,06-27-2022,11,U,3,3,0,3,5,2,PT,0.7583549902642258,0,1,0.6
83,m,R,4,06-30-2022,49,P,1,4,3,4,8,4,PT,-1.1161991411008918,1,0.25,0.5
